timestamp,bid,ask,volume
1609459200001825,4499.50,4500.00,12
1609459200003505,4499.50,4500.00,4
1609459200010418,4499.50,4499.50,13
1609459200020282,4499.00,4499.50,52
1609459200029211,4499.00,4499.50,16
1609459200029318,4499.50,4499.50,27
1609459200033871,4498.75,4499.75,20
1609459200035391,4499.00,4499.50,21
1609459200039725,4499.25,4499.75,38
1609459200045927,4499.00,4499.50,49
1609459200051853,4499.00,4499.50,2
1609459200055587,4499.00,4500.00,96
1609459200057242,4499.50,4499.50,89
1609459200059907,4499.50,4499.50,15
1609459200061077,4499.50,4499.50,65
1609459200063755,4499.50,4499.50,129
1609459200072881,4499.00,4499.50,73
1609459200073798,4499.00,4499.00,18
1609459200078185,4498.50,4499.00,41
1609459200083341,4498.50,4498.50,108
1609459200090859,4498.00,4498.50,68
1609459200099690,4497.75,4498.25,114
1609459200106234,4497.50,4498.50,7
1609459200114320,4497.50,4498.00,5
1609459200116942,4498.00,4498.00,3
1609459200123195,4498.00,4498.00,14
1609459200132260,4498.00,4498.50,63
1609459200141058,4498.25,4498.75,20
1609459200145867,4498.50,4498.50,153
1609459200150183,4498.50,4499.00,35
1609459200151927,4499.00,4499.00,50
1609459200161905,4498.50,4499.00,8
1609459200170595,4498.75,4499.25,33
1609459200172428,4499.00,4499.50,89
1609459200177467,4499.00,4499.00,41
1609459200178758,4498.50,4499.00,3
1609459200187486,4499.00,4499.00,32
1609459200196494,4498.50,4499.00,46
1609459200199965,4498.75,4499.25,58
1609459200205073,4498.75,4499.25,23
1609459200213553,4499.00,4499.00,3
1609459200213898,4499.00,4499.00,12
1609459200215062,4499.00,4499.50,3
1609459200215577,4499.50,4499.50,13
1609459200223531,4499.00,4499.50,137
1609459200232887,4499.00,4499.50,32
1609459200239557,4499.00,4499.00,28
1609459200246497,4498.50,4499.50,2
1609459200248110,4498.50,4499.00,80
1609459200249901,4498.50,4498.50,29
1609459200256814,4498.00,4498.50,103
1609459200258050,4498.00,4498.50,39
1609459200258879,4498.00,4498.50,1
1609459200260408,4498.00,4499.00,9
1609459200268365,4498.00,4499.00,116
1609459200271063,4498.00,4499.00,15
1609459200278518,4498.00,4498.50,65
1609459200287624,4498.00,4498.50,10
1609459200291191,4498.25,4498.75,39
1609459200296330,4498.00,4498.50,34
1609459200305032,4497.50,4498.50,4
1609459200308077,4497.50,4498.00,98
1609459200314693,4497.00,4498.00,14
1609459200324434,4497.00,4497.50,53
1609459200333695,4497.00,4497.50,11
1609459200338843,4497.00,4497.00,55
1609459200343759,4496.50,4497.50,137
1609459200343912,4496.50,4497.50,277
1609459200345113,4496.75,4497.25,7
1609459200350832,4497.00,4497.50,23
1609459200353417,4497.00,4497.50,18
1609459200362084,4496.50,4497.50,17
1609459200363782,4497.00,4497.50,6
1609459200365536,4497.50,4497.50,16
1609459200368987,4497.50,4498.00,50
1609459200373313,4497.50,4498.00,119
1609459200374146,4497.50,4497.50,16
1609459200374205,4497.50,4497.50,195
1609459200376853,4497.50,4498.00,27
1609459200377012,4497.00,4498.00,58
1609459200379455,4497.00,4498.00,43
1609459200381882,4497.50,4497.50,22
1609459200382536,4497.50,4498.00,14
1609459200384221,4497.50,4498.00,103
1609459200386754,4498.00,4498.00,8
1609459200389655,4498.00,4498.50,66
1609459200395098,4498.50,4498.50,55
1609459200399164,4498.00,4498.50,5
1609459200399799,4498.50,4498.50,84
1609459200407341,4498.00,4499.00,102
1609459200410994,4498.00,4498.50,19
1609459200412132,4498.50,4498.50,51
1609459200418681,4498.00,4499.00,20
1609459200419134,4497.75,4498.75,9
1609459200423484,4497.75,4498.25,21
1609459200428624,4497.50,4498.50,6
1609459200438071,4497.50,4498.00,28
1609459200446590,4497.75,4498.25,63
1609459200449819,4498.00,4498.00,54
1609459200455229,4497.75,4498.25,6
1609459200460150,4497.75,4498.25,19
1609459200464995,4498.00,4498.00,54
1609459200471207,4497.50,4498.50,47
1609459200476138,4497.50,4498.50,18
1609459200479582,4497.75,4498.25,53
1609459200487201,4497.75,4498.25,35
1609459200489982,4498.00,4498.00,54
1609459200495474,4497.25,4498.25,13
1609459200500560,4497.50,4497.50,1
1609459200504572,4497.50,4498.00,73
1609459200512034,4497.50,4498.00,10
1609459200518326,4497.50,4498.00,53
1609459200518417,4497.50,4498.50,108
1609459200525383,4497.50,4498.00,59
1609459200532995,4497.50,4497.50,94
1609459200540474,4497.00,4497.50,37
1609459200549632,4496.75,4497.75,111
1609459200557903,4497.00,4497.50,29
1609459200560511,4497.50,4497.50,15
1609459200564562,4497.50,4498.00,75
1609459200572502,4497.50,4498.00,4
1609459200577184,4497.50,4497.50,111
1609459200578505,4497.00,4497.50,59
1609459200582011,4497.00,4497.00,39
1609459200588824,4496.50,4497.00,24
1609459200598394,4497.00,4497.00,106
1609459200607827,4497.00,4497.00,21
1609459200614217,4496.75,4497.75,27
1609459200623165,4497.00,4498.00,33
1609459200627637,4497.50,4497.50,20
1609459200634262,4497.50,4498.00,126
1609459200643014,4497.50,4497.50,41
1609459200643459,4497.00,4497.50,100
1609459200646437,4497.00,4497.00,11
1609459200651793,4496.50,4497.50,16
1609459200658700,4496.50,4497.00,1
1609459200667538,4496.00,4497.00,12
1609459200668663,4496.50,4497.00,70
1609459200672715,4496.50,4496.50,8
1609459200674784,4496.50,4496.50,147
1609459200682404,4496.25,4496.75,9
1609459200692354,4496.50,4497.00,75
1609459200695038,4497.00,4497.00,1
1609459200700150,4496.50,4497.50,23
1609459200703400,4496.50,4497.00,49
1609459200705070,4496.50,4497.00,57
1609459200707054,4496.75,4497.25,2
1609459200715783,4497.00,4497.00,35
1609459200721374,4496.50,4497.00,33
1609459200728477,4496.75,4497.25,88
1609459200730984,4496.75,4497.25,168
1609459200735410,4496.50,4497.50,74
1609459200743027,4496.75,4497.25,15
1609459200747050,4497.00,4497.50,106
1609459200751046,4497.25,4497.75,55
1609459200756558,4497.00,4497.50,10
1609459200760034,4497.00,4497.50,16
1609459200769802,4497.50,4497.50,1
1609459200772933,4497.00,4497.50,33
1609459200776871,4497.00,4497.50,33
1609459200777154,4497.00,4497.00,58
1609459200782171,4497.00,4497.00,40
1609459200787804,4496.75,4497.25,20
1609459200795239,4496.50,4497.00,6
1609459200798395,4496.50,4497.00,150
1609459200801429,4496.25,4496.75,16
1609459200811089,4496.50,4497.00,16
1609459200812737,4497.00,4497.00,22
1609459200817690,4496.50,4497.00,16
1609459200818584,4496.50,4497.00,6
1609459200826627,4496.50,4496.50,16
1609459200834471,4496.50,4496.50,2
1609459200842299,4496.00,4496.50,33
1609459200851753,4496.00,4496.50,8
1609459200860975,4496.50,4496.50,14
1609459200870119,4496.50,4497.00,78
1609459200873817,4497.00,4497.00,119
1609459200878689,4496.75,4497.75,18
1609459200879676,4497.00,4497.50,147
1609459200883081,4497.00,4497.50,4
1609459200887011,4497.00,4497.00,1
1609459200894393,4497.00,4497.00,1
1609459200899114,4497.00,4497.50,30
1609459200902939,4497.25,4497.75,49
1609459200906181,4497.25,4497.75,52
1609459200910534,4497.50,4498.00,9
1609459200915574,4497.50,4498.00,127
1609459200922770,4497.25,4497.75,60
1609459200927231,4497.50,4497.50,4
1609459200927885,4497.50,4498.00,46
1609459200928309,4497.00,4498.00,90
1609459200937734,4497.50,4497.50,72
1609459200942150,4497.25,4497.75,9
1609459200950653,4497.00,4498.00,10
1609459200960244,4497.00,4498.00,173
1609459200967945,4497.50,4497.50,55
1609459200970580,4497.25,4497.75,16
1609459200977142,4497.50,4498.00,30
1609459200982296,4497.50,4497.50,74
1609459200990728,4497.50,4498.00,101
1609459200998298,4497.50,4498.00,22
1609459201006466,4497.50,4498.00,11
1609459201015465,4497.50,4497.50,106
1609459201023407,4496.75,4497.75,46
1609459201027328,4497.50,4497.50,1
1609459201034013,4496.75,4497.75,122
1609459201041574,4497.25,4497.75,8
1609459201046356,4497.50,4497.50,90
1609459201054093,4497.00,4497.50,24
1609459201063914,4497.00,4497.50,99
1609459201068441,4497.00,4498.00,20
1609459201076760,4497.00,4497.50,64
1609459201086377,4497.00,4497.50,100
1609459201093694,4497.00,4497.50,40
1609459201102598,4497.00,4497.50,101
1609459201106511,4497.00,4497.50,74
1609459201107227,4497.00,4497.50,122
1609459201113474,4497.00,4497.50,85
1609459201115967,4497.00,4497.50,34
1609459201125637,4497.00,4497.50,93
1609459201127271,4497.00,4497.50,64
1609459201133989,4497.00,4498.00,3
1609459201138332,4497.25,4497.75,52
1609459201143716,4497.50,4498.00,23
1609459201148905,4497.50,4498.00,33
1609459201157770,4497.50,4497.50,49
1609459201162479,4497.50,4498.00,28
1609459201164092,4497.75,4498.25,5
1609459201166818,4497.50,4498.50,2
1609459201167738,4497.50,4498.00,7
1609459201176441,4497.50,4498.00,9
1609459201179310,4497.00,4498.00,48
1609459201183256,4497.25,4497.75,13
1609459201187418,4497.25,4497.75,114
1609459201195041,4497.50,4498.00,8
1609459201202279,4497.50,4498.50,17
1609459201209231,4498.00,4498.00,17
1609459201215534,4498.00,4498.50,24
1609459201221416,4497.75,4498.75,17
1609459201227901,4497.75,4498.25,57
1609459201228705,4498.00,4498.50,89
1609459201233395,4498.50,4498.50,80
1609459201236984,4498.25,4498.75,56
1609459201239225,4498.00,4499.00,51
1609459201244287,4498.50,4499.00,22
1609459201246441,4498.50,4498.50,68
1609459201249319,4498.00,4498.50,104
1609459201255314,4498.00,4498.50,88
1609459201259525,4498.00,4499.00,171
1609459201264361,4498.50,4499.00,6
1609459201265595,4498.00,4499.00,98
1609459201272107,4498.50,4499.00,22
1609459201278572,4498.25,4498.75,30
1609459201282868,4498.00,4499.00,140
1609459201284644,4498.50,4498.50,48
1609459201293843,4498.25,4498.75,52
1609459201301450,4498.50,4499.00,26
1609459201303741,4498.50,4498.50,275
1609459201305644,4498.00,4498.50,7
1609459201313077,4498.00,4498.50,59
1609459201321928,4498.00,4498.50,8
